Timestamp,U L1-N,U L2-N,U L3-N,I-Wdl.-N 1 - I_3I0,I-Wdl. 1 - 3xI_I L1,I-Wdl. 1 - 3xI_I L2,I-Wdl. 1 - 3xI_I L3
1.3621848607563394,-45.444618343360034,9.26426341841372,3683.0591386589213,-6.272298399914921,-68.21477593653503,-4.704006174743524,4.229553114989437
1.3622848669864807,-45.0659131904987,10.404659476328789,3683.8661601515605,-6.271657507752966,-68.21394307799328,-4.704020629312284,4.2295340462407855
1.3623848732166222,-44.876560614068026,10.974857505286309,3684.673181644199,-6.270802984870359,-68.21311021945154,-4.704013402027904,4.229546758739887
1.3624848794467637,-44.4978554612067,11.545055534243886,3684.673181644199,-6.2697348312671,-68.2121583811181,-4.703984492890385,4.229572183738089
1.362584885676905,-44.308502884776026,12.115253563201406,3686.287224629475,-6.268666677663841,-68.21120654278467,-4.703962811037246,4.229597608736291
1.3626848919070464,-44.308502884776026,13.255649621116476,3687.0942461221134,-6.267705339420909,-68.21037368424291,-4.703948356468486,4.2296039649858415
1.3627848981371877,-44.11915030834536,14.396045679031573,3688.7082891073906,-6.266957631898627,-68.20954082570115,-4.703948356468486,4.2296039649858415
1.3628849043673292,-43.9297977319147,15.53644173694667,3690.3223320926672,-6.26610310901602,-68.2087079671594,-4.7039411291841065,4.2296039649858415
1.3629849105974707,-43.74044515548403,16.67683779486171,3691.129353585305,-6.265355401493739,-68.20799408840932,-4.703926674615347,4.229610321235392
1.363084916827612,-43.55109257905337,17.81723385277678,3692.7433965705827,-6.264607693971458,-68.20716122986757,-4.703926674615347,4.2296039649858415
1.3631849230577535,-43.55109257905337,18.957629910691878,3693.5504180632206,-6.263966801809502,-68.20632837132581,-4.7039411291841065,4.22959125248674
1.363284929287895,-43.17238742619203,19.527827939649427,3693.5504180632206,-6.2633259096475475,-68.20549551278405,-4.703955583752866,4.229572183738089
1.3633849355180363,-42.98303484976136,20.098025968606947,3694.357439555859,-6.262471386764941,-68.20466265424231,-4.703955583752866,4.2295785399876396
1.3634849417481778,-42.793682273330695,20.668223997564468,3695.1644610484973,-6.261510048522007,-68.20382979570056,-4.703933901899727,4.2296039649858415
1.3635849479783193,-42.60432969690003,21.808620055479565,3695.971482541136,-6.260441894918749,-68.2029969371588,-4.703897765477828,4.229635746233594
1.3636849542084606,-42.41497712046936,22.378818084437114,3697.5855255264128,-6.259480556675816,-68.20216407861705,-4.703876083624689,4.2296484587326955
1.363784960438602,-42.41497712046936,23.51921414235221,3698.392547019051,-6.25883966451386,-68.20133122007529,-4.7038833109090685,4.229635746233594
1.3638849666687436,-42.225624544038695,24.659610200267252,3700.0065900043282,-6.258198772351905,-68.20061734132521,-4.703897765477828,4.229616677484943
1.3639849728988849,-42.03627196760802,25.80000625818232,3700.8136114969666,-6.257451064829624,-68.19978448278346,-4.703897765477828,4.229610321235392
1.3640849791290264,-41.657566814746694,26.94040231609742,3701.6206329896045,-6.256703357307343,-68.1989516242417,-4.703890538193448,4.229616677484943
1.3641849853591679,-41.657566814746694,27.510600345054968,3702.427654482243,-6.255848834424736,-68.19811876569995,-4.703876083624689,4.229629389984043
1.3642849915893092,-41.46821423831603,28.080798374012517,3703.234675974881,-6.254994311542129,-68.19740488694987,-4.703876083624689,4.229629389984043
1.3643849978194507,-41.278861661885365,28.650996402970037,3704.04169746752,-6.254353419380173,-68.19657202840811,-4.7038833109090685,4.2296230337344936
1.364485004049592,-41.089509085454694,29.791392460885106,3704.8487189601583,-6.253605711857892,-68.19573916986636,-4.703876083624689,4.229629389984043
1.3645850102797334,-40.90015650902403,30.931788518800204,3705.6557404527966,-6.2526443736149595,-68.1950252911163,-4.703854401771549,4.2296484587326955
1.364685016509875,-40.710803932593365,31.501986547757753,3707.269783438073,-6.251683035372026,-68.19419243257454,-4.703825492634031,4.229667527481347
1.3647850227400162,-40.52145135616269,32.64238260567279,3708.076804930712,-6.250935327849746,-68.19347855382446,-4.703818265349651,4.229673883730897
