30,2900,1.2837e+004,-5.5836e+004,7.4215e+004,6.6386e+003,5.5797e+003,-2.9572e+004,6.5699e+003
31,3000,1.4596e+004,-5.6263e+004,7.2073e+004,6.6386e+003,5.4798e+003,-2.9125e+004,6.5682e+003
32,3100,1.6342e+004,-5.6646e+004,6.9859e+004,6.6386e+003,5.3640e+003,-2.8674e+004,6.5664e+003
33,3200,1.8072e+004,-5.6985e+004,6.7577e+004,6.6386e+003,5.2325e+003,-2.8219e+004,6.5648e+003
34,3300,1.9786e+004,-5.7279e+004,6.5228e+004,6.6386e+003,5.0853e+003,-2.7760e+004,6.5632e+003
35,3400,2.1480e+004,-5.7528e+004,6.2815e+004,6.6386e+003,4.9227e+003,-2.7297e+004,6.5616e+003
36,3500,2.3155e+004,-5.7731e+004,6.0340e+004,6.6386e+003,4.7447e+003,-2.6832e+004,6.5601e+003
37,3600,2.4807e+004,-5.7889e+004,5.7805e+004,6.6386e+003,4.5516e+003,-2.6365e+004,6.5587e+003
38,3700,2.6435e+004,-5.8002e+004,5.5213e+004,6.6386e+003,4.3436e+003,-2.5896e+004,6.5573e+003
39,3800,2.8039e+004,-5.8068e+004,5.2567e+004,6.6386e+003,4.1207e+003,-2.5425e+004,6.5560e+003
40,3900,2.9615e+004,-5.8089e+004,4.9868e+004,6.6386e+003,3.8834e+003,-2.4954e+004,6.5547e+003
41,4000,3.1163e+004,-5.8064e+004,4.7121e+004,6.6386e+003,3.6318e+003,-2.4482e+004,6.5535e+003
42,4100,3.2681e+004,-5.7993e+004,4.4327e+004,6.6386e+003,3.3661e+003,-2.4010e+004,6.5524e+003
43,4200,3.4167e+004,-5.7876e+004,4.1489e+004,6.6386e+003,3.0867e+003,-2.3538e+004,6.5513e+003
44,4300,3.5621e+004,-5.7713e+004,3.8611e+004,6.6386e+003,2.7937e+003,-2.3068e+004,6.5503e+003
45,4400,3.7040e+004,-5.7505e+004,3.5694e+004,6.6386e+003,2.4875e+003,-2.2599e+004,6.5493e+003
46,4500,3.8423e+004,-5.7252e+004,3.2742e+004,6.6386e+003,2.1684e+003,-2.2131e+004,6.5485e+003
47,4600,3.9769e+004,-5.6954e+004,2.9758e+004,6.6386e+003,1.8367e+003,-2.1666e+004,6.5477e+003
48,4700,4.1077e+004,-5.6611e+004,2.6744e+004,6.6386e+003,1.4928e+003,-2.1204e+004,6.5469e+003
49,4800,4.2345e+004,-5.6223e+004,2.3704e+004,6.6386e+003,1.1369e+003,-2.0746e+004,6.5463e+003
50,4900,4.3572e+004,-5.5792e+004,2.0641e+004,6.6386e+003,7.6939e+002,-2.0290e+004,6.5457e+003
51,5000,4.4757e+004,-5.5316e+004,1.7557e+004,6.6386e+003,3.9069e+002,-1.9839e+004,6.5452e+003
52,5100,4.5899e+004,-5.4798e+004,1.4456e+004,6.6386e+003,1.1392e+000,-1.9393e+004,6.5447e+003
53,5200,4.6996e+004,-5.4237e+004,1.1341e+004,6.6386e+003,-3.9887e+002,-1.8952e+004,6.5443e+003
54,5300,4.8047e+004,-5.3634e+004,8.2139e+003,6.6386e+003,-8.0895e+002,-1.8516e+004,6.5440e+003
55,5400,4.9052e+004,-5.2990e+004,5.0793e+003,6.6386e+003,-1.2287e+003,-1.8086e+004,6.5438e+003
56,5500,5.0009e+004,-5.2304e+004,1.9396e+003,6.6386e+003,-1.6577e+003,-1.7662e+004,6.5436e+003
57,5600,5.0917e+004,-5.1579e+004,-1.2020e+003,6.6386e+003,-2.0955e+003,-1.7245e+004,6.5436e+003
58,5700,5.1777e+004,-5.0814e+004,-4.3425e+003,6.6386e+003,-2.5417e+003,-1.6835e+004,6.5436e+003
